Id,Rate,Comment
1,10,"
I have been a cinema lover for years, read a lot of reviews on IMDb and
everywhere, and never found the right movie to write my first review. I
always thought I would wait for THE movie.And this is IT!When I first heard that Nolan was preparing a sci-fi movie, I felt like
a kid again, waiting for his Christmas gift under the tree. I knew it
would become a classic. And I'm sure it will.First of all, it is incredibly beautiful to watch. Honestly, it was so
beautiful that I felt like I was sucked into the movie. The way Nolan
decided to show some scenes really remind me of 2001 A Space Odyssey
(actually many things will probably remind you of this movie). We can
feel the talent of Christopher Nolan, just by looking at the way it is
filmed. The techniques he used contribute to create that visual
environment in a believable way.The sound environment is just mesmerizing. It is a very important part
of the movie, because some scenes take place in space, and Noland just
found the right way to use sound. The soundtrack (made by the great
Hans Zimmer) is breathtaking, epic, amazing, unreal. I could find a lot
more adjectives to qualify it, but you have to hear it to understand
how epic they are. These two important parts (image and sound) create a stunning
atmosphere. You will forget you are in a movie theater, and you will be
lost in space, sucked into the adventures of this new Space Odyssey,
begging for more. It is a truly unique experience. I can say that I
have never felt something like that in a movie theater (at least not
for the past ten years).Then, of course, the cast. First of all, Matthew McConaughey. I
discovered this actor in Tropic Thunder, but he didn't really convince
me, though he was quite funny. Then I saw Dallas Buyers Club. Since
that movie, I love him. In this movie... Well, he is the movie. I
exaggerate a bit, since there are other great actors (some even
unexpected with a special guest) who play extremely well. But he is
just what was needed to feel the human part of the story (which is very
important in Interstellar). He is capable of making us feel so many
different emotions all along the story, as a father, as a human. Anne
Hathaway was very convincing, all together the actors managed to create
some harmony, which makes the human interactions credible. Caine,
Chastaing and Affleck are a perfect choice. And then there is... The
special guest, I will call him ""X"". His role, which could be seen as a
minor role, is actually much more important than that. He proves, once
again, that he is a great actor. Watch and see.And finally, the scenario/story. I won't spoil anything here; I'll just
try to convince you how great it is. Nolan is known to revolutionize
everything when he tries a new genre in cinema. Well, once again he did
it. With The Dark Knight he revolutionized the superhero genre. With
Interstellar he's revolutionizing the sci-fi genre in cinema. From what
I heard, he worked with a physicist (in gravitational physics and
astrophysics) to help him with that movie. And we can feel and see it.
During the fifties, Asimov laid the foundations of modern science
fiction. Lucas and Kubrick did the same in cinema. Today, Nolan is
laying the new foundations of the genre in cinema, proving that cinema
is still at the beginning of what can be done (brace yourselves my
friends, we have not seen anything yet). Why? Well, simply because we only know a few things about space, some
things can't be proved for the moment, so we can use theory, and make
the best of it. That is exactly what Nolan did. He used theories that
exist today, and made a movie about mankind, about pioneers, about
humanity, about us.Because, in spite of all the sci-fi aspect, it is a story about
humanity. McConaughey, Hathaway, and mainly ""X"", will managed to
convince you about that.My rating for this movie can only be a 10, because in itself, it is a
beginning for a new kind of cinema. It IS a classic. Those who say ""we
can't compare this movie to 2001 Space Odyssey, nor can we compare
Nolan to Kubrick"" are wrong. We can, and we should. Talented people
don't live only in the past, some genius live today, among us. And
Nolan is one of them. Many say that he is overrated. I truly don't
think so. Only time will answer that.This is the sci-fi movie of the decade, and probably the best movie
Nolan ever made. Just go for it, without a second thought.
"
2,4,"
I am a Nolan fan but, and perhaps that's why, I see Interstellar as a
failed magic act. The multi-layered surprise and amazement that we have
come to expect of Nolan's films did not deliver. I believe this
particular film, like Prometheus, failed due to the maker's inherent
desire to create an epic - it took on too much, tried too hard and did
it all wrong. I'm willing to suspend disbelief for the sake of artistic creativity,
assume space suits and modern telecommunication systems pass unscathed
through black holes (and really, who knows?) but there are things that
cannot be excused with the budget and resources at the disposal of this
genius film-making team (such as bad script and poor plot planning). IDEA / PLOT The overarching idea is good, if not new. I found it hard
to feel amazed by the (too many) plot twists. Ultimately the
combination of all of them was tepid. We were expecting Murphy to be
older than Cooper midway onwards. Murphy's brilliant solution leading
to mankind's escape from earth failed to awe. Firstly - a massive
stretch on the Morse code / quantum data, secondly - the two
laugh-out-loud ""eureka"" moments - and thirdly, the ""aha"" factor on
seeing the new, curved reality space station was completely missing
that feeling - ""aha, so that was it, that's what it was all about"".
More failures - Matt Damon segue and the very overdone ""ghost""
revelation.SYMBOLISM / KEY TWIST The portrayal of the time dimension within a
three dimensional world in the form of the undulating bookshelf wall
was beautifully rendered. However everything else about that scene felt
wrong - the space-suited Cooper - would he have stayed in exactly that
form inside a singularity even if future advanced beings - them / us -
have helpfully carved him a neat 3-D nook in a 5-D world? This needed
exploration and some complexity. The continuation of his radio
communication equipment felt way too convenient, the whole frantic
scene ""explained"" again by the unexplained rush that's a hallmark of
this film.So, although the symbolic setup was good, I had to work hard to suspend
disbelief - to get Cooper to the back of the bedroom wall and have him
throw out clues using gravity and love as forces transcending
dimensions - why back of the wall? Why not front? Why did the
space-time continuum stop him there (that you can't go back in the time
dimension, does not explain how he could gravitationally interfere with
that particular room - in the past - and why he couldn't, I don't know,
leave a Morse code message to himself well before all of this happened?
Also, why his daughter? We get no clue in the first part of the film
why this duo in particular is chosen, the only hint to Murhpy's future
proclivity for the sciences coming from a penchant for decoding Morse
and Michael Caine's all- forgiving view of her as a""firebrand"" or
something such.)PACING / DIALOG Plot pacing was terrible (variously too slow and too
fast). Dialog was terrible. It would have benefited from further
revision and thought around how to present this particular story to the
layman. I found myself wondering how an actor of Matt Damon's caliber
did not just wave a huge red flag when he had to say why Prof Brand
knew the mission would fail -""because he could not reconcile quantum
physics with the theory of relativity"" (not a direct quote). Even if he
isn't a physicist. The only lines I can still recall liking in the film
are by Dylan Thomas (also overused).PRESENTATION I write this with only an armchair enthusiasm for physics,
familiarity limited to the most dumbed-down works of Stephen Hawking. I
found most of the science concepts used very trite - wormholes, black
holes, relativity, time dilation - trite because of their portrayal as
convenient plot tools. Having agreed in an extreme and completely
unexplained hurry to leave his family behind perhaps forever, we then
find out that Cooper needs to be told these concepts one at a time
using, at varying moments, a folded paper pierced by a pen,
oyster/pearl metaphors, and a suddenly-presented love interest for Anne
Hathaway (that plot point on love being an unexplained force was
particularly deeply unconvincing). I understand some of the angles
needed to be explained to most people, but Nolan has done hard things
more elegantly in the past. That is where one expected Nolan to
deliver. As things were it made you wonder the entire time why this crew was the
best of humanity. Murphy's law, indeed.ACTING Matthew McConaughey's drawl was sporadic and seemed unnecessary.
His character did not convince me either that he was the guy who is
most capable of being spontaneously recruited for an urgent NASA
mission (and what if he had refused?), nor that he was the guy who
loved his daughter in a unique way that transcended dimensions (or more
so than anyone else), nor even as a suitable candidate to return from
this odyssey with all its shenanigans through black holes, gyrating
space stations and a cracked space helmet (!) We never know his history
well enough. Anne Hathaway and the rest of the crew were no more
impressive. Michael Caine was convincing, but ultimately confusing, as
his confession left more questions asked than answered. TARS stole the show, and should have had more lines.EFFECTS / SCORE The effects were not comparable to Gravity. I wondered
why their spacecraft was not equipped with the basic equipment to check
metrics / giant waves / frozen clouds / landing conditions when any
commercial satellite today will do that for you and tell you where you
are to a foot's accuracy. But, details.The score was beautiful, and one of Zimmer's best. What a waste.
"
3,1,"
The universe is full of fascinating facts. It's mind-bending to
contemplate, for example, the awesome size of our galaxy. Light travels
186,000 miles per second and yet it takes 100,000 years for a single
beam of light to cross the entire Milky Way Galaxy. And our galaxy, to
quote Carl Sagan, is only one among billions and billions. The vastness
of space truly is stunning.But thanks to a ""worm hole"" the folks in Interstellar leave the Milky
Way in a cosmic snap of the fingers. And yet, having just achieved this
most amazing of all feats, our heroes are pretty much bored to tears.
Instead, everybody is more concerned with some father/daughter
relationship that wasn't developed in the first place.Look, if you're going to make a movie that purports to explore the
fascinating mysteries of the universe, then do it! Have some wonderment
in the story. Dazzle me not only with visuals, but with amazement at
the astonishing scope of our universe. And why not produce a script
that obeys the laws of astrophysics, or at least some theories thereof?This movie takes something that would dwarf the Apollo lunar missions
and turns it into some ridiculous ""Plan A/Plan B"" tediousness. I
suggest instead watching ""Through the Wormhole"" with Morgan Freeman or
re- watching ""2001: A Space Odyssey."" Heck, even ""Contact"" with Jodie
Foster is far more entertaining and imaginative than Interstellar. And yet. . .9.2 stars!I'm not saying 10-star reviews on this site are phony; after all, major
film critics also are raving about Interstellar. Unfortunately, I find
most professional film critics about as credible as the physics in this
movie.Frankly, Interstellar is a boring movie! And if that puts me in the
vast minority of reviewers, fine, I can live with that. Because I have
minimum standards when I pay $11 for admission and $8.50 for large
popcorn.Stay home and read a good book instead, or just gaze out at the night
sky and reflect on our amazing universe.
"
4,10,"
(((WOW)))...!!!It's almost impossible to put in words, but we have to try and give
everyone what he truly deserve.In my modest opinion, Interstellar is the best Sci-Fi in human history.
Believe it or not. It's the simple and the complicated, It's the usual
and the different, It's the mind and the heart, It's an emotional and
psychological journey through the unknown which has its own stunning
visuals. It's an original story and thought-provoking masterpiece.Every single time with him, you just got crazy about his ideas,
astonished by his mind games and inspired when he talks to the heart.Back then, he was an ambitious young director. And with his
capabilities made his own way straight through the world. Now, he is an
icon and a legend of directing. He is Christopher Nolan...Really guys, what's wrong with this guy ?!! what's going on inside his
head ?!!It's our job to honor the honorable. Please, Just keep the rating UP,
why ? Because Chris. and Interstellar deserve it.
"
5,1,"
this movie was awful, I was deceived by the fake rating. it was full of
pseudoscience, so superficial and boring. every single minutes could be
challenged by a science professional. being a PhD student in science, I
envy SciFi script writers and directors that they can pop up any
bullshit and be praised by non-professional audience. such a ridiculous
robot, underground NASA that launches billion dollar projects in famine
a condition, the huge tide on that planet without considering the depth
of water, entering the black-hole unprotected, LOVE being the 5th
dimension, contacting through black-hole by pushing the books! Oh my!
can anybody be more superficial about science? my advice to anybody who
has a critical mind: don't waist your time.
"
6,6,"
Though I am not a Bat-person, and do not wish to become one, I have
admired Christopher Nolan for his early films and 'Inception', though,
with the exception of 'Insomnia', I always regarded them as, in the
immortal words of Andrew Sarris 'less than meets the eye'. I do not
like to call films pretentious, but with 'Memento' and 'Inception' the
word certainly came to mind. They seemed shallow pretending to be deep.The same is, in my opinion, certainly true of 'Interstellar'. Yes, it
carries you along for a ride, and yes the special effects are great,
and yes, it might give us pause to think what will, in fact, be the
destiny of our species. But, my dear Mr Nolan, surely you must realise
that our species will not survive by planting American flags on distant
planets. And, like 'Gravity' before it, the search for a happy ending
has totally destroyed any shred of credibility of what might have gone
before. The image of Cooper floating around Saturn without his
spaceship, waiting to be picked up by a passing probe (just before his
oxygen runs out, of course) is so ridiculous that if Stanley Kubrick
were to be told that it is a respectful reference to the 'starchild' at
the end of '2001', he'd punch you in the nose. 'Interstellar' - for all of its attempts to incorporate relativistic
time dilation and very clever (I do not use that word in a derogatory
sense) visual representation of multi-dimensional string theory towards
the end, is void of any real cultural insight.The film simply extends 'The Wizard of Oz' into the space age and
decides at the end that there is really somewhere better than home. It
is TOSH! Great films tell us something memorable about the human
condition, or the nature of cinema itself. This film, for all its
quotes from Dylan Thomas does neither. It is for people who think that
the word 'awesome' has some profound meaning and not, as is the case,
an excuse for not finding a more appropriate and restrained reaction. Any suggestion that it deserves a Best Picture Oscar is a sad comment
on the way that those awards have become debased in recent years.
"
7,4,"
If you saw ""sunshine"" and thought ""wow, good thing they had scientist
advisers, this stuff is so plausible"", you will like ""interstellar"".If you saw ""armaggeddon"" and thought ""what an awesome movie, i just
wished they would have dragged the scene where he says goodbye to his
daughter out even more"", you will like ""interstellar"".If you saw ""inception"" and thought ""this movie would be so much better
in SPACE!"", you will like ""interstellar"".And if you liked ""2001"" or any other intelligent/geeky sci-fi movie,
you will hate ""interstellar"".Like some of Nolan's earlier works, it's long for the sake of length
only. Its plot is up there with ""armaggeddon"" in pure stupidity and
forced US-cowboy-patriot-macho-ism, its special effects are
underwhelming, its plot twists are obvious, its setting makes no sense,
its characters are flat and forgettable, and its constant citations of
""2001"" just serve to make you remember how much better Kubrick did all
of this with a tiny fraction of the money almost 50 years back.Disappointing.
"
8,1,"
Let me start by saying that I have enjoyed Christopher Nolan's work in
the past; Memento, Insomnia, (parts of) The Batman Trilogy. I find him
a very talented film-maker with strong ideas and visual sense.
Therefore it makes me very sad to state that, categorically, this is an
absolute turkey. In many places, the plot is so full of holes, that you
can do little but laugh-out loud. There will be reviewers on here,
talking about DEPTH, Intimations of Mortality etc etc. Forget it. This
is just a total misfire. Actors used to say, despairingly, that they
were playing Johnny Exposition - you know the guy who explains
everything to the audience. Note I said Despairingly. This has almost
every character explaining everything from wormholes to the Mystery of
Love (oh yeah). After a totally boring, drawn-out beginning which seems
to be there to prove that Nolan has watched The Grapes of Wrath many
times over, we get the first huge laugh when we meet Sir Michael Caine,
with a laughable Posh - Cockney - American accent. He is playing the
part that Sam Shephard (in this) or Morgan Freeman (usually) play. He
is not up to it; never was never will be. It takes a certain amount of
skill to be able to deliver line after line of pseudo-scientific
gobbledygook and make it sound real. Caine's performance - like so many
of his performances - screams out ""Where's my bleedin' paycheck?"" When
Coop (Gary Cooper - westerns - get it) agrees to fly this practically
suicidal mission to the outer reaches of space, he blasts off like a
Cosmic Cowboy, all bravado and charisma - at which point his fellow
crew member shows him - with a pen and paper - what a wormhole is. Yes,
when he is leading a flight into outer space, a little late doncha
think? It gets worse, when poor Anne Hathaway, playing, as my son said
- Science Girl, has to recite a monologue about Love and how it can
cross all dimensions of space, time, blah blah blah. I really felt for
her. I won't expand on the Plot, I couldn't if I wanted to. And the
last 30 minutes have to be seen to be disbelieved. This is NOT one of
those films that you see and forget immediately, you will wake up in a
few months time, laughing at Michael Caine's last scene or his recital
of Dylan Thomas' famous lines - not once but twice...and the End. Oh
the end. McConaghey gives it his all, having to cry on more than one
occasion - believe me, I know how he felt. Don't believe anyone if they
tell you 'you didn't GET it'. That's like saying you didn't GET an
episode of Two and a Half Men. Ambitious yes, but a turd is a turd -
even if they meant to produce a new hybrid Rose.
"
9,4,"
Mr. Cooper and his family live in fictional earth which is in mortal
peril. There is no way to save this poor earth, soon to be another
lifeless planet. Saving humanity might be an option. Just so happens to
be, Mr. Cooper is an old astronaut. He finds a secret NASA base via
binary numbers and gravity because that's how those work, and is sent
to the final mission which will decide the destiny of human kind, the
very next day!Mr. Cooper is a many-sided man. He has a family. Son and daughter. The
son won't matter though since this is a relationship drama written
around father and daughter. His daughter is young and very sad about
her father leaving to a nearly certain-dead mission. He might never
return. And there is that damn ghost in her room, too.Mr. Cooper goes to the space anyway, and leaves his daughter grieving.
This would have been a very short movie otherwise. By now, an hour of
precious screen time has been wasted to show us how daughter-father
relationships work. Mr. Cooper's adventure has finally reached the space and scifi phase
this movie was supposed to be all about. He travels thru wormholes with
the power of jet engines and pseudo science to save this damn old
species from extinction. There are 3 planets he needs to check out.Mr. Cooper goes to a water planet (more specifically water to the knee
level planet). There 1 hour equals 7 years in earth's time, but they
decide to try this most ducked up planet out of 3 planets first because
Nolan has to off write one of the grew members like right now and make
an imaginary timeskip to add backdrop. They also didn't have enough
fuel to go in all planets. Later on they do have enough fuel because
otherwise the story would have had a deadend. But who notices stuff
like this anyway! They also leave one guy to the spaceship to live in
earth's timeline because that is definitely awesome when he says how
long he waited for them. Mr. Cooper decided that water planet is a bit off and goes to the next
one.They find a living human there. But oh, this guy is evil and tried
to kill everyone and steal their spaceship. Now we have reached 2 hour
mark with epic tales and nice space stuff.Mr. Cooper goes to the final planet, but sends the woman there and does
a heroic sacrifice instead. He drifts in space, ready to die. But wait
a minute. Epic writing stuff happens and he drifts into an endless 5
dimensional loop where he is the ghost in her daughter's room! What an
epic. I call smart and well-though.Mr. 5 dimensional Cooper living in her daughter's bookshelf and her
adult daughter in the room reach an epic concluding thriller where she
just knows that her room a magical place and has to solve a puzzle. She
solves puzzle and everyone is saved including Mr. Cooper. Hurray hurray
hurray. Except the woman who Mr. Cooper ""saved"" hah, irony.
"
10,1,"
Previously having been a fan of a few of Nolan's films that actually
were the opposite of what this film is - masterpieces, I peeked at the
ratings here on IMDb. However had I scrolled further down to see where
they were coming from and what the reviews really were, I probably
would've discovered the truth and not have decided to take the
inevitable trip into this black hole with Nolan and suffer, something I
am extremely embarrassed about and will always be haunted for.
Unfortunately I cannot get the three hours of my life taken away by
this film. Do not watch this.At a great probability, an atrocious waste of money went into making
this because I couldn't help but question where it all went. It
probably went into a black hole. Common sense was extremely uncommon in
the entire film and to an extent that would actually anger you, making
you wonder how stupid the director thinks of you otherwise. Like plenty
others, I felt a necessary urge to be informant about this tragedy and
so created an IMDb account just to write this. Not surprisingly, I
found that a lot of others have already said most of what I wanted to
say about the film.I'm going to try to sum up some scenes, shortened to
the best of my ability that would give you an idea of how awful this
movie really was and how dreadful my time went sitting through it all
hoping to find a little substance somewhere down the line, being a
patient guy. On the real this movie is not even worth your 10 dollars
on a DVD rental. You'd probably sleep through all of it in any case.So I spend twenty dollars to go see this and upon the first ten minutes
I find myself looking back at my life wondering where I had gone wrong
to deserve this. To begin with, the start of this film with Mathew
McConaughey on some unknown farmland somewhere and who knows where,
does not create any picture or lead you anywhere for you to even
develop one on your own, to get a hold of whether an 'Interstellar'
will actually begin to unfold or whether not. Our lead, with his kids drives his truck off road down on to fields of
corn ( with a flat tire ) to follow what seems to be some ""Nasa test
drone/ robot plane"", as soon as he spots it randomly flying in the air.
So he drives with his kids for say over twenty minutes with the flat as
his car runs down heavy bushes of corn fields, where he commands his
kid son to ""take the wheel"" while he moves in the backseat now to turn
on his laptop through which he has decided to and even knows how to
track this drone! From this point on I tried hard to stay awake. He later just happens to stumble upon a Nasa base that also happens to
be only minutes away from where he lives. I steady awake to the part
where our hero gets out the car outside the Nasa base with blinding
lights in front of him. Next, he gets whacked by a robot, taken hostage
and then wakes up in front of Anne Hathaway, inside the base. Then
you've got Michael Caine telling him that he is ""the chosen one"" to fly
a rocket in spite of the fact that Matthew mistakenly discovered the
base. After exchanging a few words, our hero seems fit to be the pilot
of the rocket ship ( without real training ) for a mission everybody is
newly introduced to. What is this mission about? To go find another
planet that would sustain life because Earth is no longer going to be a
hospitable place in a few years although no one knows why. That is not
it. Guess where they're all going to look for one? In a black hole.
Forty minutes deep and you'll find that by now you'd rather walk out
because it doesn't really matter anymore how the film turns out. Later nearing the end, McConaughey's ship is about to run out of fuel
any minute where the ship explodes at full capacity leaving him to fall
into the black hole to find himself in a five dimensional wall space.
Here he communicates to Earth with the assistance of the robot that
should've been destroyed in that ship, to his daughter through a wrist
watch lying on her bedroom shelf at home and she happens to sense what
is exactly going on Wow this was just terrible. Now, to all those of you who have the slightest idea of what a black
hole is and what it does or doesn't do for that matter, do not waste
your time watching this even on DVD. In fact, make sure you do not
waste your hours even watching it for free on television shortly soon
because it would make you so sad, scared and bored all at the same time
like you couldn't believe.Not one minute of this film was ""possible"" if you like, even bit by
bit, to create any practical sense of what went on or even what could
have come out of it.This movie was so bad I came out paralyzed. To my horror, I'm left with
no words to describe the experience and I'm only trying.I consider myself pretty tough after having the courage to sit entirely
through and not walk out within the first twenty minutes like I should
have done.
"
